
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
125,Sam Houston State,Southland,-1.61,4.53,2.91,99.36,93.29,6.07
126,Mississippi State,SEC,-2.46,5.33,2.87,99.66,95.18,4.49
127,Cleveland State,Horizon,-2.12,4.91,2.79,104.05,98.66,5.40
128,Eastern Michigan,MAC (West),-0.10,2.87,2.77,99.10,94.59,4.51
129,Evansville,MVC,2.04,0.70,2.74,102.77,97.60,5.17
130,Kent State,MAC (East),-1.51,4.03,2.52,103.31,98.38,4.93
131,California-Davis,Big West,3.04,-0.62,2.42,108.59,103.58,5.01
132,Southern California,Pac-12,3.14,-0.71,2.42,100.08,95.55,4.54
133,Wofford,Southern,-4.79,7.18,2.39,102.28,97.08,5.20
134,Loyola (IL),MVC,-3.40,5.45,2.05,103.14,99.06,4.08
135,Charlotte,CUSA,8.12,-6.08,2.04,107.73,104.21,3.52
136,Northeastern,CAA,0.92,1.07,1.98,105.33,100.92,4.42
137,Long Beach State,Big West,0.66,1.30,1.96,100.97,97.49,3.48
138,Alabama-Birmingham,CUSA,2.11,-0.33,1.79,102.10,98.13,3.97
139,Western Michigan,MAC (West),4.04,-2.41,1.63,107.22,103.88,3.34
140,Virginia Tech,ACC,1.32,0.24,1.57,104.71,102.12,2.59
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
141,Missouri,SEC,-2.22,3.75,1.53,101.57,99.15,2.42
142,Vermont,AEC,-2.64,4.04,1.40,100.03,96.50,3.54
143,Western Kentucky,CUSA,2.70,-1.39,1.31,102.75,99.79,2.96
144,Middle Tennessee,CUSA,-3.84,4.46,0.62,99.92,98.26,1.66
145,Eastern Washington,Big Sky,9.10,-8.49,0.61,109.41,108.04,1.36
146,Rutgers,Big Ten,-2.90,3.51,0.61,97.27,95.46,1.81
147,North Carolina Central,MEAC,-6.52,7.05,0.53,100.42,97.12,3.29
148,Louisiana-Lafayette,Sun Belt,5.82,-5.32,0.50,101.58,99.92,1.66
149,Washington State,Pac-12,7.00,-6.55,0.45,106.61,105.41,1.20
150,Stony Brook,AEC,-2.51,2.78,0.27,99.96,97.98,1.99
151,Santa Clara,WCC,-2.21,2.42,0.21,104.46,103.82,0.64
152,Saint Joseph's,A-10,-3.14,3.15,0.01,97.41,96.10,1.31
153,Eastern Kentucky,OVC (East),-1.17,1.17,0.00,102.21,100.68,1.53
154,Belmont,OVC (East),5.17,-5.23,-0.06,106.09,105.53,0.57
155,Columbia,Ivy,-3.13,2.99,-0.14,104.82,103.93,0.88
156,Cal Poly,Big West,-7.07,6.81,-0.26,99.60,99.31,0.29
157,North Florida,A-Sun,4.04,-4.38,-0.34,104.54,103.86,0.69
158,Albany (NY),AEC,-3.17,2.71,-0.46,103.20,102.30,0.90
