Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
256,Pepperdine,WCC,-10.29,2.89,-7.40,91.04,102.42,-11.38
257,Elon,Southern (North),-1.28,-6.13,-7.41,93.73,103.91,-10.18
258,Stetson,A-Sun,2.95,-10.44,-7.48,96.20,106.49,-10.28
259,Troy,Sun Belt (East),2.91,-10.40,-7.48,101.03,111.43,-10.40
260,Fordham,A-10,-5.20,-2.43,-7.63,91.43,102.38,-10.95
261,Winthrop,Big South,-8.72,1.08,-7.64,90.48,102.10,-11.62
262,San Jose State,WAC,-2.86,-5.00,-7.86,95.94,107.71,-11.77
263,Portland,WCC,-1.44,-6.45,-7.88,96.11,107.01,-10.90
264,Eastern Michigan,MAC (West),-14.25,6.34,-7.90,86.57,99.29,-12.72
265,Gardner-Webb,Big South,-7.27,-0.72,-7.99,90.67,102.48,-11.81
266,California-Riverside,Big West,-10.58,2.57,-8.01,86.73,99.00,-12.27
267,Mississippi Valley State,SWAC,-1.06,-6.97,-8.03,93.41,104.86,-11.45
268,Pacific,Big West,-7.85,-0.19,-8.04,94.61,107.28,-12.67
269,Delaware State,MEAC,-6.49,-1.58,-8.07,97.15,108.51,-11.36
270,Marist,MAAC,-0.87,-7.33,-8.20,94.57,105.68,-11.11
271,Morgan State,MEAC,-3.54,-4.87,-8.41,93.92,105.41,-11.49
272,Loyola (IL),Horizon,-10.98,2.55,-8.43,91.09,104.62,-13.54
273,Eastern Kentucky,OVC,-5.72,-2.75,-8.47,96.66,109.02,-12.36
274,Maine,AEC,-2.81,-5.77,-8.57,93.89,105.76,-11.87
275,Texas State,Southland (West),3.57,-12.22,-8.66,96.16,108.34,-12.18
276,Samford,Southern (North),-5.08,-3.60,-8.68,97.82,110.78,-12.96
277,North Dakota,GWC,-4.70,-4.06,-8.76,92.34,104.44,-12.10
278,IPFW,Summit,-1.26,-7.53,-8.79,94.12,106.52,-12.40
279,Missouri-Kansas City,Summit,-5.17,-3.65,-8.82,95.85,108.20,-12.35
280,Coppin State,MEAC,3.97,-13.04,-9.07,101.91,114.96,-13.05
281,Sam Houston State,Southland (West),-12.90,3.80,-9.09,85.13,99.22,-14.09
282,Bethune-Cookman,MEAC,-6.53,-2.58,-9.11,95.71,108.92,-13.21
283,Illinois-Chicago,Horizon,-5.41,-3.75,-9.16,92.83,106.47,-13.64
284,Utah,Pac-12,-10.32,1.01,-9.31,91.22,106.33,-15.11
285,Virginia Military Institute,Big South,6.61,-16.04,-9.43,98.81,111.29,-12.47
286,South Dakota,Summit,-0.66,-8.89,-9.56,94.60,107.79,-13.19
287,Liberty,Big South,-3.30,-6.37,-9.67,96.32,110.09,-13.78
288,North Carolina-Greensboro,Southern (North),1.15,-10.82,-9.67,93.68,107.08,-13.40
289,Sacramento State,Big Sky,-4.86,-4.81,-9.67,94.68,108.85,-14.16
290,Dartmouth,Ivy,-11.32,1.25,-10.07,88.07,103.20,-15.14
291,Hampton,MEAC,-6.96,-3.13,-10.08,87.15,101.56,-14.42
292,New Hampshire,AEC,-10.13,0.04,-10.09,87.19,101.77,-14.58
293,Texas Southern,SWAC,-9.08,-1.18,-10.26,86.86,101.63,-14.76
294,Montana State,Big Sky,-3.74,-6.54,-10.29,92.89,107.78,-14.89
295,William & Mary,CAA,-7.44,-3.35,-10.79,93.32,109.74,-16.43
296,Idaho State,Big Sky,-3.84,-7.21,-11.05,92.59,109.06,-16.47
297,Army,Patriot,-3.80,-7.46,-11.26,89.80,105.91,-16.11
298,Eastern Illinois,OVC,-6.19,-5.29,-11.48,93.16,110.53,-17.37
